Identifikationsnr|Typ av objekt|Benämning|Material|Namn-Konstnär|Konstnär-KulturNav|Namn-Konstruktör|Konstruktör-KulturNav|Namn-Konstruktör|Namn-Fotograf|Namn-Tillverkare|Namn-Tillverkare|Namn-Tillverkare|Datering-Fotografering|Datering-Produktion|Avbildade namn|Avbildade-KulturNav|Avbildade namn|Avbildade namn|Avbildade - orter|Ämnesord|Beskrivning|Motiv-ämnesord|Motiv-beskrivning|Rättigheter|Samling|Dimukode
SR 627|Föremål|Ritning|Kartong|||Chapman, Fredrik Henrik af||||||||1767-10-22|||||||Färglad tuschritning|Fregatt, Skeppsbyggeri, Stapelbädd|Stapelbädd till fregatt|Utgången skyddstid|Sjöhistoriska museet|011024847842
Fo210165|Foto||||||||Okänd fotograf||||||CITY OF GLOUCESTER||||USA|||Kustångare, Passagerarångfartyg, Vykort|Steamer City of Gloucester|Utgången skyddstid|Sjöhistoriska museet|011015399855
Fo216068|Foto||||||||Halldin, Oscar||||1904||||||Södra Blasieholmshamnen, Stockholm|||Handkolorerat, Skärgårdsbåt, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg|Stockholm, Blasieholmen Foto: Oscar Halldin. A. B. Oscar Halldins Konstförlag, Stockholm. No. 3023|Utgången skyddstid|Sjöhistoriska museet|021015766752
Fo216093|Foto||||||||Okänd fotograf||||||||||Södra Blasieholmshamnen, Stockholm|||Handkolorerat, Kungliga slottet, Kustångare, Skärgårdsbåt, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg, Ångfärja|Stockholm, Kungl. Slottet 42 S L T|Utgången skyddstid|Sjöhistoriska museet|021015514597
Fo184148AB|Foto||||||||Okänd fotograf||||1915||BRAGE||||Munkbrokajen, Stockholm|||Mälarbåtar, Mälartorget, Passagerarfartyg, Torghandel, Ångfartyg|Stockholm, Mälartorget|Utgången skyddstid|Sjöhistoriska museet|021015512285
Fo216083|Foto||||||||Okänd fotograf||||1899||||||Stockholms ström|||Handkolorerat, Kustångare, Skeppsholmen, Skärgårdsbåt, Stadsvy, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg|Stockholm, Skeppsholmen|Utgången skyddstid|Sjöhistoriska museet|021015766767
Fo216029|Foto||||||||Okänd fotograf||||||||||Slussen, Stockholm|||Fiskarhamnen, Handkolorerad, Saluhall, Vykort|Stockholm, Utsikt från Katarinahissen. Granbergs Konstindustri-Aktiebolags Förlag, Stockholm 7 Imp|Utgången skyddstid|Sjöhistoriska museet|021015514576
Fo216310|Foto||||||||Okänd fotograf||||1901||NORRTELJE||||Stockholms ström|||Handkolorerat vykort, Skärgårdsbåt, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg|Stockholm. Imp. Axel Eliassons Konstförlag, Stockholm No 3537|Utgången skyddstid|Sjöhistoriska museet|011015395404
Fo216058|Foto||||||||Olsen, Harald||||||||||Södra Blasieholmshamnen, Stockholm|||Fiskeeka, Kustångare, Norshov, Skärgårdsbåt, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg|Stockholm. Forsfiskare på Strömmen. Ensamrätt Harald Olsen, Stockholm. 88|Utgången skyddstid|Sjöhistoriska museet|021015514589
Fo216087|Foto||||||||Okänd fotograf||||||IRIS||||Stockholms ström|||Handkolorerat, Skeppsholmsbron, Vykort, Ångbåt, Ångfartyg, Ångslup|Stockholm. Skeppsholmen. Granbergs Konstindustri-Aktiebolags Förlag, Stockholm 2|Utgången skyddstid|Sjöhistoriska museet|021015514593
Fo5811AB|Foto||||||||Okänd fotograf||||||||||Stockholm|||Stockholm, Stora varvet, Varv|Stora varvet, Stockholm|Utgången skyddstid|Sjöhistoriska museet|021015915798
OR 2527:9|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1807-01-29||||||||Handelsfartyg, Ostindiefarare, Segelfartyg|Stuvningsplan på undra däck för återresan från Canton till Sverige|Utgången skyddstid|Sjöhistoriska museet|011024827666
O 08694|Föremål|Fartygsporträtt||Hägg, Jacob|||||Okänd fotograf|||||1878|L'AIGLE|||||Skonert, Örlogsfartyg|Ram: Förgylld|Norges kust, Skonert, Örlog, Örlogsfartyg|Svenska örlogsskonerten L'Aigle utanför Norges kust 1860|Utgången skyddstid|Sjöhistoriska museet|011024825726
OR 3002:1|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1779-02-25|||||||Färglagd tuschritning|Såg|Sågställning|Utgången skyddstid|Sjöhistoriska museet|011024828391
Fo206748|Foto||||||||Okänd fotograf||||||||||Sölvesborg|||Sölvesborgs varv, Vykort, Varv|Sölvesborgs Varvs-& Rederi AB|Utgången skyddstid|Sjöhistoriska museet|021015760826
1950:138|Föremål|Ritning||||||||||||1851|Drottningsskärsbåtarna|||||||Allmogebåt, Blekingeeka, Segelbåt|Tackelritning till Blekingeeka|Utgången skyddstid|Sjöhistoriska museet|011024639349
OR 2731:5|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1778-04-10|WASA|||||||60 kanoners skepp, Örlogsfartyg, Segelfartyg|Tackelritning till 60-kanoners skepp|Utgången skyddstid|Sjöhistoriska museet|011024828035
SR 2417:3|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||1862-11-03||||||||Barkskepp, Handelsfartyg, Segelfartyg|Tackelritning till barkskepp|Utgången skyddstid|Sjöhistoriska museet|011024839855
SR 2418:2|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||1862-12-19||||||||Brigg, Handelsfartyg, Segelfartyg|Tackelritning till brigg|Utgången skyddstid|Sjöhistoriska museet|011024839861
SR 2419:2|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||||||||||Fregattskepp, Handelsfartyg|Tackelritning till fregatt|Utgången skyddstid|Sjöhistoriska museet|011024839867
SR 2420:2|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||1863-02-17||||||||Fregattskepp, Handelsfartyg|Tackelritning till fregatt|Utgången skyddstid|Sjöhistoriska museet|011024839880
1978:25:28|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1790-01-28||||||||Hemmema, Örlogsfartyg|Tackelritning till hemmema|Utgången skyddstid|Sjöhistoriska museet|011024676137
SR 2424:2|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||1863-05-21||||||||Handelsfartyg, Järnångskonert, Ångskonert, Ångfartyg|Tackelritning till ångskonert|Utgången skyddstid|Sjöhistoriska museet|011024839922
OR 8719:2|Föremål|Ritning|Papper|||Siöbohm||||||||1820-07-28|YNGVE FREY||||||Tjockt ritpapper|Handelsfartyg, Hjulångare, Ångfartyg|Tackelritning, spantsektioner och plan av däck och inredning till hjulångaren Yngve Frey|Utgången skyddstid|Sjöhistoriska museet|011024828903
1996:14:124|Föremål|Ritning|Ritfilm|||Kierkegaard, Niels Christian||||||||1800-talet||||||||Handelsfartyg, Segelfartyg|Tackelritning till segelfartyg|Utgången skyddstid|Sjöhistoriska museet|011024757762
SB 1440|Föremål|Teckning|Papper|Hägg, Jacob||||||||||Odaterad||||||||Fullriggare, Segelfartyg|Fullriggat skepp, fyrmastat|Utgången skyddstid|Sjöhistoriska museet|011024830844
Fo92774A|Foto||||||||Norberg, Oscar||||1931||PRINCESS SVANEVIT||Holm, Tore||Sandhamn, Stockholm|||12-metersjakt,12-s2 Princess Svanevit, Entonnarepokalen 1931, One ton cup 1931, R12, Tore Holm|Tore Holm på R-12:an Princess Svanevits stäv|Utgången skyddstid|Sjöhistoriska museet|021015915793
Fo195566|Foto||||||||Okänd fotograf||||||CLAS UGGLA|http://kulturnav.org/965f592d-5583-406f-a65d-37d630fb11ad||||||Kryssare, Torpedkran, Vykort|Torpedkryssaren Claes Uggla under forcering|Utgången skyddstid|Sjöhistoriska museet|021015514203
Fo102555A|Foto||||||||Okänd fotograf/Atelier Schaul (Hamburg)||||||||||Hamburg, Tyskland|||Hamnliv, Lastångfartyg, Pråm|Tyska Levantliniens kajanläggning i Hamburg. Foto Atelier Schaul, Hamburg|Utgången skyddstid|Sjöhistoriska museet|011014865795
Fo20801|Foto||||||||Åkerlund, Harald||||1933||||||Kalmar|||Vrak, Utgrävning, Marinarkeologi|Under utgrävning 16/5 1933 Utgrävningarna av ett mindre skepp från 1600-talet. Fynd nr XIII|Utgången skyddstid|Sjöhistoriska museet|021015761296
Fo216009|Foto||||||||Okänd fotograf||||||||||Stadsgården, Stockholm|||Hamn, Hamninlopp, Handkolorerad, Lastångare, Vykort, Örlogsfartyg|Utsikt över Stockholms Inlopp. Saltsjösidan. Imp. Axel Eliassons Konstförlag Stockholm No. 20|Utgången skyddstid|Sjöhistoriska museet|021015514565
1990:10:560:1|Föremål|Ritning||||Reimers, Knud H.||||||||1933-11||||||||Entyp, Fritidsbåt, Onedesign, Segelbåt|Utslagsritning i plan och profil till Onedesign av Knud Reimers|Erkännande-Dela lika|Sjöhistoriska museet|011024745693
SR 2415:3|Föremål|Ritning|Papper|||Kierkegaard, Niels Christian||||||||||||||||Barkskepp, Handelsfartyg|Utslagsritning till barkskepp|Utgången skyddstid|Sjöhistoriska museet|011024839813
1990:10:136:1|Föremål|Ritning||||Reimers, Knud H.||||||||1947|SIROCCO II|||||||Fritidsbåt, Onedesign class, Segelbåt|Utslagsritning till Sirocco II|Erkännande-Dela lika|Sjöhistoriska museet|011024734522
Fo195655|Foto||||||||Okänd fotograf||||1907||EXPRESS||||Vaxholm|||Hotellbyggnad, Skärgårdsbåt, Vaxholms hotell, Vykort, Waxholmsbåt, Ångbåt, Ångfartyg, Ångslup|Vaxholm, Hotellet och Ångf. Express. Imp. Axel Eliassons Konstförlag. Stockholm. No 3538|Utgången skyddstid|Sjöhistoriska museet|011015402184
Fo216176|Foto||||||||Okänd fotograf||||||||||Vaxholm|||Bensinmack, Kaj, Lastångare, Texaco|Waxholm. Kronudden. Förlag: Anna Strömbergs Bokhandel|Utgången skyddstid|Sjöhistoriska museet|021015514649
Fo11873|Foto||||||||Okänd fotograf||||1904||||||Lysekil|||Hamn, Kustflottan, Vykort|Vykort visande Lysekils hamn med fartyg ur kustflottan i bakgrunden. 6 pansarfartyg, 1 torpedkryssare samt ännu ett mindre fartyg synas. Trolig tidpunkt omkring 1904-05|Utgången skyddstid|Sjöhistoriska museet|011014891594
Fo12749A|Foto||||||||Okänd fotograf||||||||||Öregrund|||Finngrundet, Fyrfartyg, Grundkallen, Hamn, Vykort, Västra banken|Vykort visande Öregrunds hamn med fyrfartygen Västra Banken, Finngrundet och Grundkallen|Utgången skyddstid|Sjöhistoriska museet|021015582081
OK 260|Föremål|Karta|Papper|||||||||||1808||||||Navigation, Karta|||Världskarta från 1808|Utgången skyddstid|Sjöhistoriska museet|021025732397
S 0075|Föremål|Fartygsporträtt||Feninga, G G|||||Lilja, Andreas|||||1881|VALE|||||Lastfartyg, Lastångfartyg, Skonertriggat lastångfartyg, Ångfartyg|Ram i blankt guld. Ram: Förgylld Duk i kilram|Fartygsporträtt, Fullriggare, Fyr, Lastångfartyg, Skonert, Unionsflagga, Vale|Ångaren "Vale" till sjöss, babords sida, skonertriggad, förande två segel, svartmålat skrov. Till vänster seglare, till höger två fyrar|Utgången skyddstid|Sjöhistoriska museet|021025691946
Fo202883|Foto||||||||Malmström, Axel||||||VICTORIA||||Halvkakssundet, Stockholm|||Roddbåt, Sekelskifteskläder, Skärgårdsbåt, Utbackning, Waxholmsbåt, Ångbåt, Ångbåtsbrygga, Ångfartyg|Ångf. Viktoria Foto: Axel Malmström, Stockholm|Utgången skyddstid|Sjöhistoriska museet|021015514518
Fo216551|Foto||||||||Okänd fotograf||||1912||MALMÖ||||Malmö|||Järnvägsfärja, Vykort, Ångfartyg, Ångfärja|Ångfärjan Malmö. Johan Johansson, Liatorp 1912|Utgången skyddstid|Sjöhistoriska museet|011015396063
Fo131451_00DIG|Foto||||||||Ljunggren, Maria||||2008|||||||||Flagga, Unionsflagga|Äldre unionsflagga, 1814-1844|Erkännande-Dela lika|Sjöhistoriska museet|021015582579
O 04935|Föremål|Sjöstrid||Berg, Albert|http://kulturnav.org/1716b58a-b8d6-41d5-af8a-0ca700ef0b5f||||Jonson, Johan|||||1874|ÖLAND|||||Orfordness 1704|Ram: Förgylld|Engelska örlogsfartyg, Ordforness, Sjöstrid, Strid, Svensk örlog, Öland, Örlogsfartyg, Örlogsflagga|ÖLANDS strid vid Orfordness 28 juli 1704|Utgången skyddstid|Sjöhistoriska museet|011024824301
00396|Föremål|Kanon|Brons||||||Karlsson, Anneli|||||||||||Artilleri, Eldrör, Eldvapen, Kanon, Rör, Stycke, Vapen|Kanonrör. Gjutet riksvapen med initialerna G.A.R.S och årtalet 1626. Band med Vasakärvar och akantusblad|||Erkännande-Dela lika|Vasamuseet|011024602912
00488|Föremål|Potta|Tenn||||||Andersson, Tony|||||||||||Hygien, Kärl, Pissepotta, Potta, Tennkärl, Tennpotta|Potta. Potta av tenn, bukig med bred, utvikt mynningsrand och hög, kraftig fotring. Pottan är försedd med en enkelsvängd hänkel, bredd 20-10 mm|||Erkännande-Dela lika|Vasamuseet|011024603172
01445|Föremål|Lejon|Ek||||||Evensen, Stefan|||||||||||Djur, Lejon, Skulptur|Lejon. Skulptur av ett litet, liggande lejon med utsträckta framben och hopdragna bakben|||Erkännande-Dela lika|Vasamuseet|011024605334
01693|Föremål|Krus|Lergods||||||Andersson, Tony|||||||||||Dryckeskärl, Husgeråd, Kanna, keramik, Krus, Sejdel, Stop|Ett krus med vertikal bandhänkel|||Erkännande-Dela lika|Vasamuseet|011024606046
03171|Föremål|Sked|Trä||||||Evensen, Stefan|||||||||||Husgeråd, Livet ombord, Matredskap, Sked, Träsked|En träsked. Skeden har ett ovalt skedblad och ett kort skaft|||Erkännande-Dela lika|Vasamuseet|011024608622
03172|Föremål|Rundmynt|Koppar||||||Hildebrand, Gabriel|||||||||||1 öre, Arboga, Mynt, Rundmynt, Utrustning, Valsverkspräglat|1 öre. Runt mynt. Bägge sidor slitna. Åtsidan korroderad. Vikt: 24,3 gram|||Erkännande-Dela lika|Vasamuseet|011024608628
03284|Föremål|Stånka|Trä||||||Evensen, Stefan|||||||||||Behållare, Förvaringskärl, Husgeråd, Kanna, Kärl, Laggband, Laggkärl, Laggstav, Nattropare, Sejdel, Stop, Stånka|Stånka. Laggat kärl med pip, handtag och lock. En laggstav fattas|||Erkännande-Dela lika|Vasamuseet|011024609013
03741|Föremål|Block|Ask||||||Roa Brynildsen, Eduardo|||||||||||Block, Enkelblock, Enskivigt block, Rigg, Topplänte, Topplänteblock|Blocktyp: Topplänteblock. Enkelblock. Två hål, något snett borrade. Tågvirke i ena sidohålet. Till storrån. Skivgatten visar spår efter verktyg|||Erkännande-Dela lika|Vasamuseet|011024610140
03906|Föremål|Klubba|Trä||||||Evensen, Stefan|||||||||||Drevklubba, Klubba, Verktyg|Klubba. Skaftet har ett genomgående hål för verktygets upphängning. Huvudet har ett åttkantigt tvärsnitt och ändarna är något nedåtböjda. Ändarna är fasade|||Erkännande-Dela lika|Vasamuseet|011024610594
04231|Föremål|Klipping|Koppar||||||Hildebrand, Gabriel|||||||||||2 öre, Klipping, Kopparmynt, Mynt, Valsverkspräglat|2- öre Fyrkantigt mynt. Vikt: 35,3 gram|||Erkännande-Dela lika|Vasamuseet|011024611442
04394|Föremål|Lavettbotten|Ek||||||Karlsson, Anneli|||||||||||Artilleri, Eldvapen, Kanonlavett, Lavett, Vapen|Lavettbotten till monterad lavett. Lavettbotten har längsgående fiberriktning|||Erkännande-Dela lika|Vasamuseet|011024611715
04971|Föremål|Månur|Bearbetat ben, Djurben||||||Karlsson, Anneli|||||||||||Ben, Djurben, Klocka, Livet ombord, Månljusomvandlare, Månur, Skeppsur, Solur, Tidmätare, Ur,|Del till ett litet månur|||Erkännande-Dela lika|Vasamuseet|011024613016
06159|Föremål|Kerub|Ek||||||Evensen, Stefan|||||||||||Biblisk figur, Gumma, Gummansikte, Kerub, Skulptur, Ängel|Kerub. Skulptur i form av ett litet, runt kerub- eller gummansikte med böjd näsa, liten mun, tjocka kinder och kraftigt rynkad panna|||Erkännande-Dela lika|Vasamuseet|011024615337
06472|Föremål|Musköt|Äppelträ, Päronträ||||||Karlsson, Anneli|||||||||||Gevär, Luntsnapplås, Manskapsmusköt, Musköt, Vapen|Delar till en musköt bestående av en stock med kolv|||Erkännande-Dela lika|Vasamuseet|011024615701
06922|Föremål|Putto|Ek||||||Ytterborg, Kristin|||||||||||Barnfigur, Människofigur, Putto, Skanning, Skulptur,Ängel|Skulptur föreställande en barnfigur med en luta|||Erkännande-Dela lika|Vasamuseet|011024616350
08201|Föremål|Hatt|Silke, Ull||||||Evensen, Stefan|||||||||||Brätte, Hatt, Hattband, Hattkulle, Huvudbonad, Kläder, Klädnad|En filtad hatt med vävda band av silke|||Erkännande-Dela lika|Vasamuseet|011024618191
08216|Föremål|Vante|Läder||||||Evensen, Stefan|||||||||||Handbeklädnad, Handske, Kläder, Kragvante, Livet ombord, Tumme, Tumvante, Vante|En kragvante till höger hand. Sydd av flera kraftiga läderstycken. Påsydd bård i ett stycke i form av rundade "tungor" längs kragkanten|||Erkännande-Dela lika|Vasamuseet|011024618321
08620|Föremål|Sko|Läder||||||Karlsson, Anneli|||||||||||Livet ombord, Sko, Skodon, Slejf, Slejfsko|En sko med slejf|||Erkännande-Dela lika|Vasamuseet|021025722413
08626|Föremål|Stövel|Läder||||||Karlsson, Anneli|||||||||||Bakkappa, Botten, Inlägg, Livet ombord, Skodon, Stövel, Stövelbotten, Sula|Ett 20-tal delar och fragment av stövlar i form av inlägg,sulor, bakkappa mm. Lädret har hål efter träpligg och/eller stygn. Lädret är delvist spaltat|||Erkännande-Dela lika|Vasamuseet|021025722418
08651|Föremål|Block|Ask||||||Roa Brynildsen, Eduardo|||||||||||Block, Dubbelblock, Rigg, Tvåskivigt|Blocktyp: Dubbelblock. Har haft järnstropp. Blocket har spår av verktyg. Axeln har spår av användning|||Erkännande-Dela lika|Vasamuseet|011024619193
10288|Föremål|Kranium|Människoben||||||Karlsson, Anneli|||||||||||Ben, Kranium, Människoben, Människoskelett, Skalle, Skelett, Tänder|Kranium med 10 tänder|||Erkännande-Dela lika|Vasamuseet|011024622016
1.16A|Foto||||||||Okänd fotograf||||1961||VIKING||||Stockholms ström|||Mälarbåt, Vasa bärgas, Ångbåt, Ångfartyg, Åskådare||Utgången skyddstid|Vasamuseet|011014851091
11818|Föremål|Kritpipa|Piplera||||||Andersson, Tony||||||||||| Kritpipa, Livet ombord, Pipa|Kritpipa|||Erkännande-Dela lika|Vasamuseet|021025722541
1-240|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Bärgning, Knekt, Relingsstötta, Övre däck||Utgången skyddstid|Vasamuseet|011014849755
1-242|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Balk, Bärgning, Övre däck||Utgången skyddstid|Vasamuseet|011014849760
12445|Föremål|Fyrfat|Brons||||||Andersson, Tony|||||||||||Fyrfat, Glödpanna, Husgeråd, Kopparkärl, Livet ombord|Fyrfat eller glödpanna med två hankar|||Erkännande-Dela lika|Vasamuseet|011024626080
12818|Föremål|Bok|Mässing, Trä, Läder||||||Karlsson, Anneli|||||||||||Bibel, Bok, Bokpärm, Pärm, Spänne|En monterad bok bestående av en bokpärm och läderöverdrag|||Erkännande-Dela lika|Vasamuseet|011024626787
13864|Föremål|Skrin|Ek||||||Evensen, Stefan|||||||||||Ask, Behållare, Förvaring, Låda, Skrin, Träskrin|Ett litet träskrin med skjutlock. Skrinets gavlar och långsidor är sinkade. Bottnen sitter infälld i gavlarna och är fästad med trästift vid långsidorna|||Erkännande-Dela lika|Vasamuseet|011024627910
14253|Föremål|Snöre|Textil||||||Evensen, Stefan|||||||||||Nystan, Snöre, Snörnystan, Textil, Tråd|Ett snörnystan. Gråbrunt|||Erkännande-Dela lika|Vasamuseet|021025722752
14365|Föremål|Gryta|Lergods||||||Andersson, Tony|||||||||||Behållare, Gryta, Husgeråd, Keramik, Keramikgryta, Keramikkärl, Kokkärl, Kärl, Lergods, Livet ombord, Trefotsgryta|Trefotsgryta, sammansatt av flera bitar och delar. Insidan blyglaserad, brun. Utsidan oglaserad svart och sotig|||Erkännande-Dela lika|Vasamuseet|021025722796
15370|Föremål|Tunna|Trä||||||Andersson, Tony|||||||||||Bomärke, Förvaring, Initialer, Laggkärl, Laggkärlsbotten, Laggkärlslock|Botten (eller lock) till laggkärl. Bomärke och eller initialerna HR|||Erkännande-Dela lika|Vasamuseet|021025722850
15442|Föremål|Ljusstake|Mässing||||||Andersson, Tony|||||||||||Ljus, Ljuskälla, Ljusstake|Något kvarsittande ljus!|||Erkännande-Dela lika|Vasamuseet|021025722861
15448|Föremål|Fat|Tenn||||||Andersson, Tony|||||||||||Bomärke, Fat, Husgeråd, Livet ombord, Tallrik, Tennfat, Tenntallrik|Fat av tenn. På brättet finns två välbevarade och tydliga stämplar. Den ena stämpeln avbildar en krona medan den andra stämpeln avbildar bokstäverna EA samt en stjärna och en halvmåne|||Erkännande-Dela lika|Vasamuseet|011024630312
16501|Föremål|Stop|Tenn||||||Evensen, Stefan|||||||||||Dryckeskärl, Husgeråd, Kanna, Livet ombord, Sejdel, Stop, Tennstop|Tennstop med lock. Stopet är cylinderformat och har raka väggar och profilerad bas. Hänkeln är S-svängd och nedtill prydd med ett sköldliknande ornament|||Erkännande-Dela lika|Vasamuseet|011024633450
17113|Föremål|Kranium|Människoben||||||Karlsson, Anneli|||||||||||Huvud, Johan, Kranium, Människoben, Människoskelett, Prov, Skalle, Skelett|Kranium med tänder|||Erkännande-Dela lika|Vasamuseet|011024634161
17902|Föremål|Ring|Guld||||||Evensen, Stefan|||||||||||Fingerring, Guldring, Ring, Smycke|En fingerring av guld. Guldringen har en oval infattning. Runt infattningen löper en pärlliknande bård. Ringen har varit försedd med en sten eller sigill vilken nu saknas|||Erkännande-Dela lika|Vasamuseet|011024635445
20988|Föremål|Rundkula|Järn||||||Karlsson, Anneli|||||||||||24 pund, Ammunition, Artilleri, Kanonkula, Kula, Lod, Rundkula, Vapen|Kanonkula, 24 pund. Gjutjärn. I gott skick|||Erkännande-Dela lika|Vasamuseet|011024785018
2-104|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Arkeolog, Föremål, Kagge, Muskötkulor, Trossdäck||Utgången skyddstid|Vasamuseet|011014851903
2-110|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Ankartross, Arkeolog, Föremål, Trossdäck||Utgången skyddstid|Vasamuseet|011014851919
2-117|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Stockholms ström|||Arkeolog, Trossdäck||Utgången skyddstid|Vasamuseet|011014851934
21251|Föremål|Krus|Stengods, Tenn||||||Andersson, Tony|||||||||||Dryckeskärl, Husgeråd, Kanna, Keramik, Krus, Livet ombord, Sejdel, Stop, Tenn, Westerwaldkrus|Krus av saltglaserat stengods med lock av tenn. Kruset är höghalsat och bukigt. En bandhänkel sitter fästad vid buk och hals. Kruset är rikt dekorerat med reliefpressad dekor i mangangrått och koboltblått|||Erkännande-Dela lika|Vasamuseet|011024785204
24014|Föremål|Kedjelod|Järn||||||Karlsson, Anneli|||||||||||24 pund, Ammunition, Artilleri, Kanonkula, Kedjelod, Kula, Lod, Vapen|Ett komplett kedjelod. Två halvor med öglor som är sammanlänkade med tre länkar|||Erkännande-Dela lika|Vasamuseet|011024786451
24120|Föremål|Saxlod|Järn||||||Karlsson, Anneli|||||||||||24 pund, Ammunition, Artilleri, Kanonkula, Kula, Lod, Saxlod, Vapen|Saxlod, 24 pund. Två halvor fästade vid varandra med en kort genomgående järnstång. Genom varje halva går en järnstång som är spetsig i ena änden och trubbig i andra|||Erkännande-Dela lika|Vasamuseet|011024786463
2-5|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Beckholmen, Stockholm|||Arkeolog, Föremål, Lera, Slam, Såll||Utgången skyddstid|Vasamuseet|011014852197
25364|Föremål|Brädspel|Trä||||||Evensen, Stefan|||||||||||Brädspel, Förströelse, Mark, Spel, Spelbricka, Spelmark|Brädspel. Svarvad spelbricka till brädspel. Ovansidan har koncentriska cirklar medan undersidan är slät. Skåra runtom kanten|||Erkännande-Dela lika|Vasamuseet|011024786586
2-85|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Beckholmen, Stockholm|||Arkeolog, Person, Utgrävning||Utgången skyddstid|Vasamuseet|011014852407
3-103|Foto||||||||Okänd fotograf||||1963||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Beckholmen, Stockholm|||Beckholmen, Fynd, Föremål, Konservator, Konserveringsanläggning, Segel||Utgången skyddstid|Vasamuseet|011014852575
3-107|Foto||||||||Okänd fotograf||||1963||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|Bergéus, Britt||Beckholmen, Stockholm|||Beckholmen, Konservator, Konserveringsanläggning, Person, Segel||Utgången skyddstid|Vasamuseet|011014852598
4-20|Foto||||||||Okänd fotograf||||1961||VASA|http://kulturnav.org/2fb9d56c-68e7-4178-a534-81709dd63f8c|||Wasavarvet/Alkärret, Stockholm|||Plats, Skepp, Stödvagga, Wasavarvet||Utgången skyddstid|Vasamuseet|011014853344
42018|Föremål|Klipping|Koppar||||||Roa Brynildsen, Eduardo|||||||||||1627, 2 öre, Klipping, Kopparmynt, Livet ombord, Mynt, Säter,Valsverkspräglat|2 öre Fyrkantigt mynt. Åtsidan: versalerna G A R svagt och delvis synliga|||Erkännande-Dela lika|Vasamuseet|021025723133
Fo133581|Foto||||||||Norberg, Oscar||||||UNN|||||||1802 Unn, Estrellita, Starbåt, Unn III||Utgången skyddstid|Sjöhistoriska museet|021015915809
Fo156412|Foto||||||||Okänd fotograf||||1917||Richson, Carl|||||||Porträtt, Marindirektör||Utgången skyddstid|Sjöhistoriska museet|011015432006
Fo192151|Foto||||||||Okänd fotograf||||1964||LISS|||||||Liss, Motorbåt, Motorjakt, Petterssonbåt||Utgången skyddstid|Sjöhistoriska museet|011015432959
Fo202769|Foto||||||||Okänd fotograf||||||CITY OF PARIS|||||||Atlantångare, Kryssningsfartyg, Vykort||Utgången skyddstid|Sjöhistoriska museet|021015708785
Fo206460|Foto||||||||Okänd fotograf||||||HAMMAREN|||||||Lastmotorfartyg||Utgången skyddstid|Sjöhistoriska museet|021015760600
Fo206523|Foto||||||||Okänd fotograf||||||JAMES A. FARRELL|||||||Lastångfartyg, Lake freighter, Ångfartyg||Utgången skyddstid|Sjöhistoriska museet|021015760649
Fo210199|Foto||||||||Okänd fotograf||||||EMPRESS OF IRELAND|||||||Vykort, Ångare, Ångfartyg||Utgången skyddstid|Sjöhistoriska museet|021015762821
Fo216498|Foto||||||||Okänd fotograf||||||LEMOYNE|||||||Lastångfartyg, Speciallastfartyg, Stora sjöarna||Utgången skyddstid|Sjöhistoriska museet|021015514813
Fo220232|Foto||||||||Okänd fotograf||||||MILOS|||||||Lastångfartyg, Milos||Utgången skyddstid|Sjöhistoriska museet|021015769166
Fo220434|Foto||||||||Okänd fotograf||||1948||DJURGÅRDEN 5||||Stockholms ström|||Djurgårdsfärja, Vykort, Ångfartyg, Ångfärja||Utgången skyddstid|Sjöhistoriska museet|011015407729
